,id,airport_ref,airport_ident,type,description,frequency_mhz
2915,58115,2419,EGGW,APP,APP,129.55
2916,58116,2419,EGGW,ATIS,ATIS,120.575
2917,58117,2419,EGGW,GND,GND,121.75
2918,58118,2419,EGGW,TWR,TWR,132.55
2919,71916,29137,EGHA,A/G,Compton Abbas A/G,122.7
2920,71953,29138,EGHB,A/G,Maypole A/G,119.2
2921,71943,29139,EGHC,A/G,Lands End St.Just A/G,130.7
2922,71945,29139,EGHC,RAD/APP,Lands End St.Just RAD/APP,130.7
2923,71944,29139,EGHC,TWR,Lands End St.Just TWR,130.7
2924,58431,2420,EGHD,APP,APP,133.55
2925,58432,2420,EGHD,TWR,TWR,118.15
2926,71979,29140,EGHE,RAD/APP,Scilly Isles St.Mary's RAD/APP,123.15
2927,71978,29140,EGHE,TWR,Scilly Isles St.Mary's TWR,123.15
2928,72004,29142,EGHG,A/G,Yeovil Westland A/G,125.4
2929,72006,29142,EGHG,RAD/APP,Yeovil Westland RAD/APP,130.8
2930,72005,29142,EGHG,TWR,Yeovil Westland TWR,125.4
2931,58220,2421,EGHH,APP,APP,119.475
2932,58221,2421,EGHH,ATIS,ATIS,121.95
2933,58222,2421,EGHH,GND,GND,121.7
2934,58223,2421,EGHH,TWR,TWR,125.6
2935,58479,2422,EGHI,APP,APP,128.85
2936,58480,2422,EGHI,ATIS,ATIS,113.35
2937,58481,2422,EGHI,GND,GND,121.775
2938,58482,2422,EGHI,OPS,OPS,130.65
2939,58483,2422,EGHI,TWR,TWR,118.2
2940,71907,29143,EGHJ,A/G,Bembridge A/G,123.25
2941,71970,29144,EGHK,A/G,Penzance A/G,118.1
2942,58142,2423,EGHL,APP,FARNBOROUGH APP,125.25
2944,71942,29145,EGHN,A/G,Isle of Wight Sandown A/G,123.5
2945,71990,29146,EGHO,A/G,Thruxton A/G,130.45
2946,71974,29147,EGHP,A/G,Popham A/G,129.805
2947,58292,2404,EGHQ,APP,APP,133.4
2948,58293,2404,EGHQ,ATIS,ATIS,127.4
2949,58294,2404,EGHQ,DIR,DIRECTOR,125.55
2950,58295,2404,EGHQ,GND,GND,121.95
2951,58297,2404,EGHQ,OPS,OPS,131.8
2952,58296,2404,EGHQ,RADAR,ZONE ?,127.925
2953,58298,2404,EGHQ,TWR,TWR,134.375
2954,71912,29148,EGHR,AFIS,Goodwood Information,122.455
2955,71940,29149,EGHS,A/G,Henstridge A/G,130.25
2956,71992,35157,EGHT,A/G,Tresco A/G,130.25
2957,71922,29150,EGHU,A/G,Eaglescott A/G,123.0
2958,71993,29151,EGHY,A/G,Truro A/G,129.8
2959,52694,2424,EGJA,APP,GUERNSEY APP,128.65
2960,52695,2424,EGJA,GND,GND,130.5
2961,52696,2424,EGJA,TWR,TWR,125.35
2962,52690,2425,EGJB,APP,APP,128.65
2963,52691,2425,EGJB,ATIS,ATIS,109.4
2964,52692,2425,EGJB,GND,GND,121.8
2965,52693,2425,EGJB,TWR,TWR,119.95
2966,54805,2426,EGJJ,APP,APP,120.3
2967,54806,2426,EGJJ,ATIS,INFO,112.2
2968,316267,2426,EGJJ,ATIS,INFO,129.725
2969,54807,2426,EGJJ,GND,GND,121.9
2970,54808,2426,EGJJ,RDR,RDR,118.55
2971,54809,2426,EGJJ,TWR,TWR,119.45
2972,58102,2427,EGKA,A/G,RDO,123.155
2973,58103,2427,EGKA,APP,APP,123.155
2974,58104,2427,EGKA,ATIS,ATIS,130.975
2975,58105,2427,EGKA,TWR,TWR,125.405
2976,58318,2428,EGKB,APP,APP,129.4
2977,58319,2428,EGKB,ATIS,ATIS,135.675
2978,58320,2428,EGKB,RDR,THAMES RDR,132.7
2979,58321,2428,EGKB,TWR,TWR,134.8
2980,71946,29154,EGKH,A/G,Lashenden Headcorn A/G,122.0
2981,58462,2429,EGKK,APP,APP,126.825
2982,58463,2429,EGKK,ATIS,ATIS,136.525
2983,58464,2429,EGKK,CLD,CLNC DEL,121.955
2984,329163,2429,EGKK,Dir,Director,118.95
2985,58465,2429,EGKK,GND,GND,121.805
2986,58466,2429,EGKK,TWR,TWR,124.3
2987,307312,29822,EGKL,A/G,Deanland Radio,129.73
2988,71975,29155,EGKR,TWR,Redhill TWR,119.6
2989,71909,29156,EGLA,A/G,Bodmin A/G,122.7
2990,58212,2430,EGLC,APP,APP,132.7
2991,58213,2430,EGLC,ATIS,ATIS,136.35
2992,58214,2430,EGLC,GND,GND,121.825
2993,58215,2430,EGLC,TWR,TWR,118.075
2994,71919,29157,EGLD,A/G,Denham A/G,130.725
2995,71920,29157,EGLD,AFIS,Denham AFIS,130.725
2996,58457,2431,EGLF,APP,APP,134.35
2997,58458,2431,EGLF,ATIS,ATIS,128.4
2998,58459,2431,EGLF,DIR,DIRECTOR,130.05
2999,75231,2431,EGLF,LARS,Farnborough East Radar,123.225
3000,75230,2431,EGLF,LARS,Farnborough West Radar,125.25
3001,75232,2431,EGLF,LARS,Farnborough North Radar,132.8
3003,58460,2431,EGLF,OPS,TAG Aviation,130.375
3004,58461,2431,EGLF,TWR,TWR,122.5
3005,71966,29158,EGLG,A/G,Panshanger A/G,120.25
3006,58304,2432,EGLJ,RDO,RDO,125.4
3007,58131,2433,EGLK,AAS,AFIS INFO,122.3
3008,323434,2434,EGLL,ATIS,Heathrow ATIS,113.75
3009,323435,2434,EGLL,ATIS,Heathrow ATIS (Arrival),115.1
3010,319776,2434,EGLL,ATIS,Heathrow ATIS (Departure),121.935
3011,319777,2434,EGLL,ATIS,Heathrow ATIS,128.075
3012,58109,2434,EGLL,CLD,Heathrow Delivery,121.975
3013,58107,2434,EGLL,DIR,Heathrow Director,119.725
3014,323436,2434,EGLL,DIR,Heathrow Director,120.4
3015,323437,2434,EGLL,DIR,Heathrow Director,127.525
3016,323438,2434,EGLL,DIR,Heathrow Director,134.975
3017,58110,2434,EGLL,GND,Heathrow Ground,121.7
3018,323431,2434,EGLL,GND,Heathrow Ground,121.85
3019,323430,2434,EGLL,GND,Heathrow Ground,121.9
3020,58111,2434,EGLL,TWR,Heathrow Tower,118.5
3021,323432,2434,EGLL,TWR,Heathrow Tower,118.7
3022,323433,2434,EGLL,TWR,Heathrow Tower,124.475
3023,71999,29159,EGLM,A/G,Waltham Radio,122.6
3024,72000,29159,EGLM,AFIS,Waltham Information,122.6
3025,71965,29160,EGLS,A/G,Old Sarum A/G,123.205
3026,71950,43211,EGLW,RAD/APP,London Heliport RAD/APP,122.9
3027,71949,43211,EGLW,TWR,London Heliport TWR,122.9
3028,71933,29162,EGMA,A/G,Fowlmere A/G,120.925
3029,307758,29162,EGMA,A/G,,135.7
3030,58263,2435,EGMC,APP,APP,130.775
3031,58264,2435,EGMC,ATIS,ATIS,121.8
3032,58265,2435,EGMC,RDR,RDR,130.775
